,gain,x,y
0,1.1176111062603684,1.0,1.0
1,1.1196249256499073,1.0,2.0
2,1.1157990167021166,1.0,3.0
3,1.1169222586650118,1.0,4.0
4,1.1175761016107286,1.0,5.0
5,1.113721395632124,1.0,6.0
6,1.1149455800371648,1.0,7.0
7,1.1120329020528479,1.0,8.0
8,1.1127203362888127,1.0,9.0
9,1.1137020151045836,1.0,10.0
10,1.1071898138537126,1.0,11.0
11,1.115040855793857,2.0,1.0
12,1.1193234311704925,2.0,2.0
13,1.1166451018273986,2.0,3.0
14,1.118488797358236,2.0,4.0
15,1.1160912005952486,2.0,5.0
16,1.1111111111111112,2.0,6.0
17,1.107362228566485,2.0,7.0
18,1.1083210667590269,2.0,8.0
19,1.1126024300649902,2.0,9.0
20,1.125989044430919,2.0,10.0
21,1.114749529715042,2.0,11.0
22,1.117474507612795,3.0,1.0
23,1.1164076482784286,3.0,2.0
24,1.1130628358754064,3.0,3.0
25,1.1211155099323826,3.0,4.0
26,1.1176111062603684,3.0,5.0
27,1.1154785934346116,3.0,6.0
28,1.1164472168565809,3.0,7.0
29,1.1075170522466775,3.0,8.0
30,1.109377708441671,3.0,9.0
31,1.110943235244452,3.0,10.0
32,1.1058840050554697,3.0,11.0
33,1.116577689382044,4.0,1.0
34,1.1198208286674132,4.0,2.0
35,1.1162271522254779,4.0,3.0
36,1.1111111111111112,4.0,4.0
37,1.1158962913884192,4.0,5.0
38,1.1164997732109836,4.0,6.0
39,1.1141479379558867,4.0,7.0
40,1.1100319134175107,4.0,8.0
41,1.110151720735167,4.0,9.0
42,1.1161307467446187,4.0,10.0
43,1.1159923474810458,4.0,11.0
44,1.1180521047774543,5.0,1.0
45,1.1324335077893062,5.0,2.0
46,1.1164218679133378,5.0,3.0
47,1.1268200785252742,5.0,4.0
48,1.1226297602132997,5.0,5.0
49,1.1103669498396136,5.0,6.0
50,1.1083210667590269,5.0,7.0
51,1.122504702384564,5.0,8.0
52,1.1069600110696,5.0,9.0
53,1.1156045181982988,5.0,10.0
54,1.116889462845974,5.0,11.0
55,1.116986927762361,6.0,1.0
56,1.1175720746677842,6.0,2.0
57,1.127773713728359,6.0,3.0
58,1.1219546944009118,6.0,4.0
59,1.1228661157604787,6.0,5.0
60,1.1082826813514122,6.0,6.0
61,1.1099164094204155,6.0,7.0
62,1.108588924668743,6.0,8.0
63,1.1093392498093324,6.0,9.0
64,inf,6.0,10.0
65,1.1130434782608696,6.0,11.0
66,1.1152416356877324,7.0,1.0
67,1.119243888573053,7.0,2.0
68,1.1157212091628603,7.0,3.0
69,1.1228145217344812,7.0,4.0
70,1.119194180190263,7.0,5.0
71,1.120757133708105,7.0,6.0
72,1.1119798453653027,7.0,7.0
73,1.1117866759315556,7.0,8.0
74,1.10514410042997,7.0,9.0
75,1.1078606172860876,7.0,10.0
76,1.1167440706207679,7.0,11.0
77,1.1140315758324775,8.0,1.0
78,1.1181773708854568,8.0,2.0
79,1.1144327890891723,8.0,3.0
80,1.123194865394901,8.0,4.0
81,1.1180124223602483,8.0,5.0
82,1.1228145217344812,8.0,6.0
83,1.1081867294639147,8.0,7.0
84,1.1073442477725344,8.0,8.0
85,1.1191158984402323,8.0,9.0
86,1.1165192512342772,8.0,10.0
87,1.1126024300649902,8.0,11.0
88,1.1157017589735543,9.0,1.0
89,1.1171429070153083,9.0,2.0
90,1.1170649119438676,9.0,3.0
91,1.1166253101736974,9.0,4.0
92,1.1269986616890892,9.0,5.0
93,1.1105519790383314,9.0,6.0
94,1.107649705780547,9.0,7.0
95,1.1063094209161626,9.0,8.0
96,1.1169222586650118,9.0,9.0
97,1.1124050544904664,9.0,10.0
98,1.126263241202971,9.0,11.0
99,1.1147883643964467,10.0,1.0
100,1.1160519661696748,10.0,2.0
101,1.1150245128404808,10.0,3.0
102,1.119331199608234,10.0,4.0
103,1.1179625133194753,10.0,5.0
104,1.1080429850326257,10.0,6.0
105,1.1808520301571441,10.0,7.0
106,1.1074197120708749,10.0,8.0
107,1.1088779541201748,10.0,9.0
108,1.1180950078568839,10.0,10.0
109,1.1139204696147251,10.0,11.0
110,1.1209976879422687,11.0,1.0
111,1.1193116233516387,11.0,2.0
112,1.1167140688524018,11.0,3.0
113,1.1179330659757958,11.0,4.0
114,1.1264080100125156,11.0,5.0
115,1.138636713340514,11.0,6.0
116,1.1085304054054055,11.0,7.0
117,1.1080819628880485,11.0,8.0
118,1.108510900357187,11.0,9.0
119,1.101938011614077,11.0,10.0
120,1.1166556164287957,11.0,11.0
